,accuracy,f_macro,f_weighted
0,0.6247,0.5102,0.692
1,0.6247,0.5102,0.692
2,0.6247,0.5102,0.692
3,0.6247,0.5102,0.692
4,0.6247,0.5102,0.692
5,0.6247,0.5102,0.692
6,0.6247,0.5102,0.692
7,0.6247,0.5102,0.692
8,0.6247,0.5102,0.692
9,0.6247,0.5102,0.692
