,accuracy,f_macro,f_weighted
0,0.7997,0.6242,0.8214
1,0.8005,0.6245,0.8219
2,0.8,0.6243,0.8215
3,0.7996,0.6241,0.8213
4,0.7994,0.6244,0.8212
5,0.8001,0.6245,0.8216
6,0.7998,0.6239,0.8214
7,0.8001,0.6244,0.8216
8,0.8001,0.6247,0.8217
9,0.8001,0.6245,0.8216
10,0.8,0.6245,0.8216
