,score
loan_id=VXH87KRGUA,1.0
loan_id=VWX16TKM8K,1.0
loan_id=Y1LLSF3URS,1.0
loan_id=Y32XXDMZ8V,1.0
loan_id=YCOFQ5KSBK,1.0
loan_id=YE8MOFC91B,1.0
employment_type_loan_purpose=Self-employed_Auto,1.0
employment_type_loan_purpose=Self-employed_Business,1.0
loan_id=ZZ8L9BINFD,1.0
loan_id=ZYGR5K2UZL,1.0
loan_id=ZX7HCQECBN,1.0
loan_id=ZS4RLVU19S,1.0
loan_id=ZK2KJ9HDJG,1.0
loan_id=Z9RW0REFGX,1.0
loan_id=Z8AJTJS8VL,1.0
loan_id=Z7WVGTXGZ5,1.0
loan_id=Z788YGMLFA,1.0
loan_id=Z38WQMHYOR,1.0
loan_id=Z1FF0OVCBJ,1.0
loan_id=YVZSBOBJTA,1.0
loan_id=YS4M7Z8UKG,1.0
loan_id=YRY6GJ3H1F,1.0
loan_id=YR93NHG8EV,1.0
loan_id=YH36D287WZ,1.0
loan_id=YERHHLMR24,1.0
loan_id=VWWUGR84XG,1.0
loan_id=VNLSOJVN83,1.0
loan_id=R8BR3D6WM9,1.0
loan_id=S64PL5PS39,1.0
loan_id=STNPOVP9M9,1.0
loan_id=SRFATG5V7N,1.0
loan_id=SN7OSSGYPG,1.0
loan_id=SMQOP9UJGU,1.0
loan_id=SKXJ2U5S2I,1.0
loan_id=SGTTYV0VZ0,1.0
loan_id=SEPT7O6OIU,1.0
loan_id=S78LR0RI4C,1.0
loan_id=S6GARQLIGD,1.0
loan_id=S5GOJPW2EM,1.0
loan_id=VL10FAC1DZ,1.0
loan_id=S1T0OZKCEC,1.0
loan_id=RRUN0MA50Q,1.0
loan_id=RRR2SB6XUX,1.0
loan_id=I8QSEZRCKL,1.0
loan_id=RJ4FN81GZC,1.0
loan_id=RC0JPGL6VN,1.0
loan_id=RAN8O3AAXJ,1.0
loan_id=RALVMXVI6P,1.0
loan_id=R974AJAACZ,1.0
loan_id=SWEVL6D1RK,1.0
loan_id=SWMHNIXQ0L,1.0
